"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2023","209.56","209.92","209.92","208.25","","-0.17%"
"12/01/2023","209.92","212.91","212.91","208.62","","-1.40%"
"11/30/2023","212.91","213.70","213.70","208.44","","-0.37%"
"11/29/2023","213.70","210.91","213.81","207.17","","1.32%"
"11/28/2023","210.91","210.30","210.91","207.95","","0.29%"
"11/27/2023","210.30","210.52","210.52","206.94","","-0.10%"
"11/24/2023","210.52","210.11","210.55","207.77","","0.20%"
"11/23/2023","210.11","209.88","210.11","207.34","","0.11%"
"11/22/2023","209.88","209.60","209.91","206.78","","0.13%"
"11/21/2023","209.60","208.83","209.60","207.73","","0.37%"
"11/20/2023","208.83","209.31","209.38","207.28","","-0.23%"
"11/17/2023","209.31","208.95","209.37","207.29","","0.17%"
"11/16/2023","208.95","208.84","209.10","206.92","","0.05%"
"11/14/2023","208.84","209.47","209.58","207.05","","-0.30%"
"11/13/2023","209.47","210.16","210.16","208.07","","-0.33%"
"11/10/2023","210.16","209.59","210.26","208.40","","0.27%"
"11/09/2023","209.59","209.29","209.64","207.36","","0.14%"
"11/08/2023","209.29","209.31","209.32","207.48","","-0.01%"
"11/07/2023","209.31","209.28","209.31","206.78","","0.01%"
"11/06/2023","209.28","209.62","209.92","204.84","","-0.16%"
"11/03/2023","209.62","205.96","209.62","205.63","","1.78%"
"11/02/2023","205.96","208.02","208.02","204.32","","-0.99%"
"10/31/2023","208.02","208.74","208.74","205.55","","-0.34%"
"10/30/2023","208.74","209.20","209.45","206.60","","-0.22%"
"10/27/2023","209.20","209.57","209.69","207.38","","-0.18%"
"10/26/2023","209.57","208.88","209.57","207.62","","0.33%"
"10/25/2023","208.88","209.34","209.37","207.62","","-0.22%"
"10/24/2023","209.34","207.94","209.35","207.90","","0.67%"
"10/23/2023","207.94","209.79","209.79","207.17","","-0.88%"
"10/20/2023","209.79","210.18","210.18","206.88","","-0.19%"
"10/19/2023","210.18","209.05","210.18","208.38","","0.54%"
"10/18/2023","209.05","210.95","210.95","208.75","","-0.90%"
"10/17/2023","210.95","211.13","211.50","209.23","","-0.09%"
"10/16/2023","211.13","210.66","211.53","209.83","","0.22%"
"10/13/2023","210.66","208.88","210.66","206.70","","0.85%"
"10/12/2023","208.88","208.59","209.04","206.34","","0.14%"
"10/11/2023","208.59","208.19","209.27","207.15","","0.19%"
"10/10/2023","208.19","207.96","209.74","207.02","","0.11%"
"10/09/2023","207.96","210.05","210.05","206.67","","-0.99%"
"10/06/2023","210.05","208.78","210.05","206.05","","0.61%"
"10/05/2023","208.78","207.90","209.02","206.49","","0.42%"
"10/04/2023","207.90","208.58","208.58","206.74","","-0.33%"
"10/03/2023","208.58","209.92","210.26","207.76","","-0.64%"
"10/02/2023","209.92","210.59","210.73","208.58","","-0.08%"
"09/28/2023","210.09","210.39","211.35","208.25","","-0.14%"
"09/26/2023","210.39","211.50","212.25","209.64","","-0.52%"
"09/25/2023","211.50","211.17","212.06","209.53","","0.16%"
"09/22/2023","211.17","210.89","211.77","209.55","","0.13%"
"09/21/2023","210.89","211.76","212.25","209.98","","-0.41%"
"09/20/2023","211.76","212.50","212.81","210.05","","-0.35%"
"09/19/2023","212.50","213.47","213.49","211.51","","-0.45%"
"09/18/2023","213.47","214.98","214.98","212.39","","-0.70%"
"09/15/2023","214.98","216.07","216.09","212.97","","-0.50%"
"09/14/2023","216.07","215.35","216.07","212.55","","0.33%"
"09/13/2023","215.35","215.10","216.16","213.58","","0.12%"
"09/12/2023","215.10","212.51","215.10","211.43","","1.22%"
"09/11/2023","212.51","212.75","214.08","211.32","","-0.11%"
"09/08/2023","212.75","212.55","213.58","210.49","","0.09%"
"09/07/2023","212.55","211.65","212.55","208.48","","0.43%"
"09/06/2023","211.65","210.92","211.79","209.23","","0.35%"
"09/05/2023","210.92","209.80","210.92","208.55","","0.53%"
"09/04/2023","209.80","210.89","210.89","208.45","","-0.52%"
"09/01/2023","210.89","207.82","210.89","206.01","","1.48%"
